pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1224180903,6.0,28.0,1744.17004394531,0,1.0,1.0,1,7.464607276275934,1,False,False
1224185647,5.0,47.0,1902.0,0,2.0,4.0,0,7.551186867296149,1,False,True
1224185651,5.0,54.0,604.0,0,3.0,4.0,0,6.405228458030842,0,True,False
1224193131,5.0,54.0,6850.0,0,1.0,2.0,0,8.832149906002899,1,False,False
1224193807,6.0,58.0,920.830017089844,0,2.0,2.0,0,6.826360843316483,1,True,False
1224197215,6.0,30.0,0.0,0,3.0,,1,0.0,1,False,False
1224197219,6.0,31.0,839.75,0,3.0,1.0,1,6.734294350620379,1,True,False
1224197223,6.0,33.0,2755.0,2,1.0,4.0,0,7.9215356321335495,0,False,False
1224200607,6.0,42.0,2963.330078125,0,1.0,2.0,0,7.9944063426059975,0,False,False
1224200611,6.0,39.0,1739.67004394531,0,2.0,2.0,0,7.46202540081044,1,False,True
1224221687,4.0,64.0,1505.08996582031,0,5.0,1.0,1,7.317272144836078,1,True,False
1224224500,6.0,28.0,1136.67004394531,1,3.0,3.0,0,7.036737628835401,1,True,False
1224234607,7.0,49.0,2376.669921875,0,1.0,3.0,0,7.7738762626858176,1,False,True
1224234611,6.0,51.0,2054.669921875,0,2.0,3.0,0,7.628357069851398,0,False,True
1224235287,6.0,51.0,1223.72998046875,1,5.0,5.0,0,7.110475674574721,1,False,True
1224235291,5.0,55.0,0.0,1,5.0,5.0,0,0.0,0,True,False
1224235295,4.0,29.0,1229.52001953125,0,4.0,1.0,1,7.115192139126843,1,False,True
1224235299,3.0,26.0,0.0,0,3.0,5.0,1,0.0,1,False,False
1224242087,6.0,47.0,18.0,0,2.0,3.0,0,2.9444389791664403,1,False,False
1224246167,6.0,43.0,0.0,1,1.0,4.0,0,0.0,1,False,False
1224246171,3.0,49.0,104.0,1,2.0,4.0,0,4.653960350157523,0,False,False
1224250943,5.0,30.0,1650.0,0,1.0,1.0,1,7.409136443920128,0,False,False
1224258407,6.0,33.0,172.899993896484,2,2.0,4.0,0,5.158480386262387,1,False,False
1224268607,6.0,51.0,1213.32995605469,0,9.0,2.0,0,7.101947727157358,0,False,True
1224268611,5.0,51.0,1360.0,0,3.0,2.0,0,7.215975002651466,1,False,True
1224268615,5.0,29.0,1900.0,1,1.0,3.0,0,7.550135342488429,0,False,False
1224276087,4.0,54.0,1200.0,0,4.0,2.0,0,7.0909098220799835,0,False,True
1224276091,6.0,50.0,960.0,0,3.0,2.0,0,6.8679744089702925,1,False,True
1224282207,2.0,54.0,1750.0,0,4.0,4.0,0,7.467942332285852,1,False,False
1224299887,6.0,62.0,1088.0,0,2.0,2.0,0,6.9930151229329605,1,False,False
1224301247,6.0,56.0,658.669982910156,0,4.0,2.0,0,6.491739684072132,1,False,True
1224301251,7.0,58.0,2804.19995117188,0,2.0,2.0,0,7.939230099256467,0,False,False
1224301255,3.0,33.0,1607.0,0,3.0,2.0,0,7.382746449738912,1,True,False
1224308047,5.0,59.0,1800.0,0,1.0,3.0,0,7.496097345175956,1,False,False
1224308051,6.0,58.0,2945.830078125,0,5.0,1.0,1,7.988485321803194,0,False,True
1224310767,6.0,46.0,4035.830078125,2,1.0,4.0,0,8.30321502884125,1,False,False
1224310771,6.0,53.0,2140.0,2,2.0,4.0,0,7.669028288589683,0,False,True
1224325055,6.0,29.0,1690.67004394531,1,2.0,3.0,0,7.433471511660758,1,False,True
1224325059,5.0,30.0,2094.46997070313,1,1.0,2.0,1,7.647533136889327,1,False,False
1224337287,6.0,49.0,2550.0,3,1.0,5.0,0,7.844240718141811,0,False,False
1224337291,7.0,43.0,5336.0400390625,3,1.0,5.0,0,8.582426478472282,1,False,False
1224339327,4.0,57.0,310.130004882813,0,5.0,2.0,0,5.7402108469635555,1,False,True
1224340687,4.0,50.0,1204.0,0,4.0,4.0,0,7.094234845924755,1,False,True
1224344771,6.0,63.0,0.0,0,4.0,3.0,0,0.0,1,False,False
1224344779,6.0,27.0,1771.67004394531,0,1.0,3.0,1,7.480242188329718,0,False,False
1224357687,4.0,48.0,0.0,0,4.0,3.0,0,0.0,0,False,False
1224357691,5.0,49.0,1200.0,0,3.0,3.0,0,7.0909098220799835,1,False,True
1224371967,3.0,56.0,1408.32995605469,0,5.0,1.0,1,7.2508696619530335,1,False,True
1224376047,2.0,38.0,1685.67004394531,1,3.0,2.0,1,7.430511475950514,1,False,True
1224378087,5.0,54.0,1881.35998535156,0,3.0,2.0,1,7.540281579936662,1,False,False
1224388975,2.0,30.0,2565.330078125,0,3.0,1.0,1,7.850232172181418,0,False,False
1224388979,6.0,32.0,1831.0,3,3.0,5.0,0,7.513163545234075,0,False,True
1224395087,6.0,63.0,8.35999965667725,0,4.0,2.0,0,2.236445253809719,1,True,False
1224399847,6.0,39.0,1950.0,1,1.0,3.0,0,7.576097340623111,1,False,False
